Introduction	序章
"The captain then dissolved into a pool of sticky blackness."	"The captain then dissolved into a pool of sticky blackness."
"Elsa von Spielburg was a lovely young child with braided blond hair and bright blue eyes like her mother the Baroness used to have." 	"Elsa von Spielburg was a lovely young child with braided blond hair and bright blue eyes like her mother the Baroness used to have." 
"A large winged creature flew over the castle walls, grabbed Elsa, and vanished before the guards could fire upon it.  We searched everywhere for her, but to no avail. " 	"A large winged creature flew over the castle walls, grabbed Elsa, and vanished before the guards could fire upon it.  We searched everywhere for her, but to no avail. " 
"Even the jester Yorick joined the search for her." 	"Even the jester Yorick joined the search for her." 
"The Baron sent a troop of guards to storm Baba Yaga's hut, but I think their skulls sit atop her fence.  Elsa von Spielburg would be about eighteen now." 	"The Baron sent a troop of guards to storm Baba Yaga's hut, but I think their skulls sit atop her fence.  Elsa von Spielburg would be about eighteen now." 
"Baba Yaga cursed the graveyard such that the dead can not rest at night. One can not go near the graveyard after dark without risking his own death unless one uses protection."  	"Baba Yaga cursed the graveyard such that the dead can not rest at night. One can not go near the graveyard after dark without risking his own death unless one uses protection."  
"The Baron von Spielburg lost most of his guards trying to defeat Baba Yaga."	"The Baron von Spielburg lost most of his guards trying to defeat Baba Yaga."
"'Hero of the Realm of Spielburg' is a title of respect and honor. A true hero can release this land from its curse using his intelligence and courage." 	"'Hero of the Realm of Spielburg' is a title of respect and honor. A true hero can release this land from its curse using his intelligence and courage." 
"Baba Yaga has her hut to the northwest.  It is a very dangerous place and many Baronial Guards have been lost there." 	"Baba Yaga has her hut to the northwest.  It is a very dangerous place and many Baronial Guards have been lost there." 
"The stablekeeper could use a strong young person to help clean out the stables."	"The stablekeeper could use a strong young person to help clean out the stables."
"It does not pay much, but it is good, honest work."	"It does not pay much, but it is good, honest work."
"If you would like to take the job, come on in."	"If you would like to take the job, come on in."
"The leader of the brigands must be a good strategist." 	"The leader of the brigands must be a good strategist." 
"He has organized and lead many raids which result in much treasure and little loss on the part of the brigands.  Without their leader, the brigands would soon flee."	"He has organized and lead many raids which result in much treasure and little loss on the part of the brigands.  Without their leader, the brigands would soon flee."
"Ten years ago the Baron's daughter Elsa was stolen away by magic.  Five years back, the Baronet Barnard von Spielburg went on a hunt from which he did not return.  This was all clearly part of Baba Yaga's curse."  	"Ten years ago the Baron's daughter Elsa was stolen away by magic.  Five years back, the Baronet Barnard von Spielburg went on a hunt from which he did not return.  This was all clearly part of Baba Yaga's curse."  
"Not much is known about him, but he seems to use more magic potions and powders than spells."	"Not much is known about him, but he seems to use more magic potions and powders than spells."
"There are many foul creatures stalking the forest since the Baron has too few guards to protect this valley from them."	"There are many foul creatures stalking the forest since the Baron has too few guards to protect this valley from them."
"My name is Karl."	"My name is Karl."
"There is an unguent you can purchase from the Healer which protects against the dead that walk by night."	"There is an unguent you can purchase from the Healer which protects against the dead that walk by night."
"There is still a reward offered for the safe return of the Baronet and Elsa von Spielburg of 50 gold."	"There is still a reward offered for the safe return of the Baronet and Elsa von Spielburg of 50 gold."
"For the capture or death of the Brigand Warlock there is the reward of 50 gold." 	"For the capture or death of the Brigand Warlock there is the reward of 50 gold." 
"For the capture or death of the Brigand leader there is the reward of 50 gold and the title of 'Hero of Spielburg'."  	"For the capture or death of the Brigand leader there is the reward of 50 gold and the title of 'Hero of Spielburg'."  
"Cleaning up after the horses is a good way to build up your muscles."	"Cleaning up after the horses is a good way to build up your muscles."
"Many merchants have been robbed by the brigands.  There is a merchant in town who could tell you about his robbery." 	"Many merchants have been robbed by the brigands.  There is a merchant in town who could tell you about his robbery." 
"Spielburg Valley was once a prosperous and peaceful place before the Baron lost his family."	"Spielburg Valley was once a prosperous and peaceful place before the Baron lost his family."
"Now the Baron will not leave his castle and does not know the ruin this land has come to."	"Now the Baron will not leave his castle and does not know the ruin this land has come to."
"He was a very jolly fool who loved to laugh.  He was devoted to Elsa and swore he would not return until Elsa was safe." 	"He was a very jolly fool who loved to laugh.  He was devoted to Elsa and swore he would not return until Elsa was safe." 
The mountains in the distance ring the valley of Spielburg, creating a formidable barrier to travelers.	The mountains in the distance ring the valley of Spielburg, creating a formidable barrier to travelers.
The portcullis has been raised, and the way to the castle is clear. 	The portcullis has been raised, and the way to the castle is clear. 
The portcullis presents a severe obstacle for entry to the castle.	The portcullis presents a severe obstacle for entry to the castle.
The castle is securely locked for the night.	The castle is securely locked for the night.
The gate is already open. 	The gate is already open. 
After climbing down the wall you says to yourself, "Self," you says, "that wasn't too bad." 	After climbing down the wall you says to yourself, "Self," you says, "that wasn't too bad." 
Once more the guard raises the portcullis.	Once more the guard raises the portcullis.
That smarts.  Maybe you should move a little more quickly.	That smarts.  Maybe you should move a little more quickly.
The guard, sensing something is awry, raises the portcullis.	The guard, sensing something is awry, raises the portcullis.
Experience is the best teacher.	Experience is the best teacher.
Practice makes perfect.	Practice makes perfect.
Try, try again etc...	Try, try again etc...
Take a break.  It's Mueller time.	Take a break.  It's Mueller time.
The gatehouse is more difficult to climb than it first appeared.	The gatehouse is more difficult to climb than it first appeared.
Remember what happened to Humpty Dumpty.	Remember what happened to Humpty Dumpty.
The gate guard keeps a vigilant eye out for trouble as he paces back and forth on the castle parapet.  He walks with the easy stride of a veteran soldier. 	The gate guard keeps a vigilant eye out for trouble as he paces back and forth on the castle parapet.  He walks with the easy stride of a veteran soldier. 
The sky is clear except for a few clouds.	The sky is clear except for a few clouds.
The towers stand out above the castle walls.	The towers stand out above the castle walls.
The gatehouse is a massive structure with a portcullis closing off access to the castle.	The gatehouse is a massive structure with a portcullis closing off access to the castle.
The guards won't allow you to do that.	The guards won't allow you to do that.
You're not in a good place to climb.	You're not in a good place to climb.
Leave the climbing to those who know how.	Leave the climbing to those who know how.
You can't see anything through the window from here.	You can't see anything through the window from here.
The building's appearance is deceptive;  it evidently extends well into the castle wall.  From your present vantage point, the barracks looks like it could house some sixty guards.	The building's appearance is deceptive;  it evidently extends well into the castle wall.  From your present vantage point, the barracks looks like it could house some sixty guards.
The castle's central keep rises above the rear of the courtyard. 	The castle's central keep rises above the rear of the courtyard. 
The castle wall feels very solid.	The castle wall feels very solid.
This is the chimney to the baking oven.	This is the chimney to the baking oven.
The troops once proudly followed this crest. 	The troops once proudly followed this crest. 
The barracks entrance. 	The barracks entrance. 
There is no answer to your knock.  The guards must all be asleep. 	There is no answer to your knock.  The guards must all be asleep. 
The guards access the walkway through the towers. 	The guards access the walkway through the towers. 
The castle has a garden area with a doorway leading from the castle keep.	The castle has a garden area with a doorway leading from the castle keep.
The guard looks like he is either very tired or very lazy.	The guard looks like he is either very tired or very lazy.
"I'm not here to answer your stupid questions.  Go talk to Karl the gatekeeper.  He talks to anyone about almost anything."	"I'm not here to answer your stupid questions.  Go talk to Karl the gatekeeper.  He talks to anyone about almost anything."
These are the mountains that ring the valley of Spielburg.	These are the mountains that ring the valley of Spielburg.
It's an empty storage pot.	It's an empty storage pot.
"Go away.  This is just the barracks for us guards."	"Go away.  This is just the barracks for us guards."
This is the barracks area.  To the north, you see the castle's central keep. To the east, you see the main courtyard and the stables beyond. 	This is the barracks area.  To the north, you see the castle's central keep. To the east, you see the main courtyard and the stables beyond. 
Along the wall to the southeast is the gatehouse.  A line of bushes partially obscures a defensive pit along the wall. To the west, you can see the barracks and a man standing in front of them.  	Along the wall to the southeast is the gatehouse.  A line of bushes partially obscures a defensive pit along the wall. To the west, you can see the barracks and a man standing in front of them.  
The guard would object.	The guard would object.
You barely get to sleep when the guard on night patrol kicks you out. 	You barely get to sleep when the guard on night patrol kicks you out. 
The guard chuckles as you make a fool of yourself.  	The guard chuckles as you make a fool of yourself.  
The sky goes on forever when it's this clear. 	The sky goes on forever when it's this clear. 
The guards patrol from here.	The guards patrol from here.
It's a watering trough for the horses.	It's a watering trough for the horses.
An empty wagon stands rotting into the courtyard. 	An empty wagon stands rotting into the courtyard. 
The wagon is much too heavy to move without a horse.  	The wagon is much too heavy to move without a horse.  
The guards patrol along here.	The guards patrol along here.
The solid stone walls protect the compound. 	The solid stone walls protect the compound. 
Empty barrels lay around the compound. 	Empty barrels lay around the compound. 
The barrels are empty.	The barrels are empty.
The castle's central keep rises above the rear of the courtyard.  	The castle's central keep rises above the rear of the courtyard.  
The castle walls feel very solid.	The castle walls feel very solid.
The courtyard is paved with granite paving stones, carefully placed by a skilled craftsman. 	The courtyard is paved with granite paving stones, carefully placed by a skilled craftsman. 
There is a curb along the left of the courtyard. 	There is a curb along the left of the courtyard. 
There is a curb along the right of the courtyard. 	There is a curb along the right of the courtyard. 
There are two guards near the castle door. 	There are two guards near the castle door. 
You are too far away to talk to the guards. 	You are too far away to talk to the guards. 
"And the lesson begins!"	"And the lesson begins!"
"En garde!"	"En garde!"
"Enough!"	"Enough!"
After making sure no guards are looking, you climb over the wall. 	After making sure no guards are looking, you climb over the wall. 
"Should we meet again, I would not be adverse to another go-round.  Farewell, friend!"	"Should we meet again, I would not be adverse to another go-round.  Farewell, friend!"
"Even as we fought, I could detect your skills improving through practice."	"Even as we fought, I could detect your skills improving through practice."
The weapon master lends you the necessary items and then... 	The weapon master lends you the necessary items and then... 
The lesson wears you down, and you become exhausted.	The lesson wears you down, and you become exhausted.
"I can see now that my career must end.  Anytime that I, the Weapon Master, can be beaten by a mindless, nasty little twerp such as you, it is time to take an interminable vacation." 	"I can see now that my career must end.  Anytime that I, the Weapon Master, can be beaten by a mindless, nasty little twerp such as you, it is time to take an interminable vacation." 
"By your leave, I hope your sword rusts and your cape fragments in the most awful manner!"	"By your leave, I hope your sword rusts and your cape fragments in the most awful manner!"
That's easy to say, but you don't HAVE a gold coin.  You make your apologies to the Weapon Master.  	That's easy to say, but you don't HAVE a gold coin.  You make your apologies to the Weapon Master.  
The gates are closed for the night. 	The gates are closed for the night. 
You are forced to admit that the Weapon Master has gotten the better of you.	You are forced to admit that the Weapon Master has gotten the better of you.
"I am a skilled teacher as well as a skilled fighter."	"I am a skilled teacher as well as a skilled fighter."
"However, the combat style I teach relies on the subtle alternation of Strike and Parry.  As I observe that you have no skill in the use of Parry, you would receive no benefit from my lessons."	"However, the combat style I teach relies on the subtle alternation of Strike and Parry.  As I observe that you have no skill in the use of Parry, you would receive no benefit from my lessons."
"Pity.  I'm in the mood for some good combat practice."	"Pity.  I'm in the mood for some good combat practice."
"For a mere gold coin, I will be glad to give you some practice and some pointers on how to better your skills."	"For a mere gold coin, I will be glad to give you some practice and some pointers on how to better your skills."
"Will you pay for a lesson?"	"Will you pay for a lesson?"
"It was most prudent that you should give in to my superior skill."	"It was most prudent that you should give in to my superior skill."
You pay the Weapon Master's price and then... 	You pay the Weapon Master's price and then... 
"If you would like a stretcher, my weak, tired friend... You seem a shadow of the person who began this little lesson." 	"If you would like a stretcher, my weak, tired friend... You seem a shadow of the person who began this little lesson." 
"The art of dancing would be a good skill for you to practice, my friend."	"The art of dancing would be a good skill for you to practice, my friend."
"The balance of the body over the rapidly moving feet has won many a contest."	"The balance of the body over the rapidly moving feet has won many a contest."
"Put your attention to the control of your legs when you duck a swing.  Your springiness makes you seem to bounce,"	"Put your attention to the control of your legs when you duck a swing.  Your springiness makes you seem to bounce,"
"... and a good opponent (such as myself) will always take advantage of the opening." 	"... and a good opponent (such as myself) will always take advantage of the opening." 
"You have a tendency to overbalance when you dodge a blow.  This will adversely affect the timing and effectiveness of your counterattack."	"You have a tendency to overbalance when you dodge a blow.  This will adversely affect the timing and effectiveness of your counterattack."
"Be more aware of the angle with which your weapon approaches your opponent."	"Be more aware of the angle with which your weapon approaches your opponent."
"The thrust bites quickly, but the swing will do more damage if it connects." 	"The thrust bites quickly, but the swing will do more damage if it connects." 
"I salute you!"	"I salute you!"
"Still, you seem to tire more easily than you should."	"Still, you seem to tire more easily than you should."
The grounds are neglected and overgrown. 	The grounds are neglected and overgrown. 
There are too many guards around.	There are too many guards around.
You barely get to sleep when you hear the guards searching the castle grounds for bums.  You decide it's time to make like a tree and leave.	You barely get to sleep when you hear the guards searching the castle grounds for bums.  You decide it's time to make like a tree and leave.
You realize, of course, that such actions will not only have you grabbed by guards, dragged to the dungeon, and brutally tortured, but that you probably won't be able to win this game if you perform them.	You realize, of course, that such actions will not only have you grabbed by guards, dragged to the dungeon, and brutally tortured, but that you probably won't be able to win this game if you perform them.
"If you are addressing me, sir, you must respect me enough to address me to my face!"	"If you are addressing me, sir, you must respect me enough to address me to my face!"
The man has the muscles of a trained athlete and is apparently quite skilled with the sword. 	The man has the muscles of a trained athlete and is apparently quite skilled with the sword. 
Practice	Practice
Town  	Town  
Castle	Castle
Elsa	Elsa
Fighting	Fighting
Friendship   	Friendship   
Guards	Guards
NO	NO
Armor 	Armor 
Skills	Skills
Sword	Sword
Town	Town
Weapon Master	Weapon Master
YES	YES
"Unhand me, you lout, or I shall have you thrown into the dungeons.  I allow only those who pay for the privilege to measure their fighting skill against mine."	"Unhand me, you lout, or I shall have you thrown into the dungeons.  I allow only those who pay for the privilege to measure their fighting skill against mine."
"Practice is the way to refine and improve one's skills."	"Practice is the way to refine and improve one's skills."
"The Baronet had some minor talent with weapons, but he was too impatient."	"The Baronet had some minor talent with weapons, but he was too impatient."
"If he had but listened and learned what I teach, he would never have been lost." 	"If he had but listened and learned what I teach, he would never have been lost." 
"The Baron had the wisdom to recognise greatness when I presented myself; thus he made me Weapon Master."	"The Baron had the wisdom to recognise greatness when I presented myself; thus he made me Weapon Master."
"Please don't bore me, young adventurer.  Ask me about something more interesting."	"Please don't bore me, young adventurer.  Ask me about something more interesting."
"The Brigands fight remarkably well for riff-raff who have not had the benefit of my training.  They are cowards who like to hide behind their shields, but I must admit they do that well."	"The Brigands fight remarkably well for riff-raff who have not had the benefit of my training.  They are cowards who like to hide behind their shields, but I must admit they do that well."
"Should you find yourself face-to-face with one of the Brigands, I suggest you mirror their techniques.  Use Parry or Dodge until your opponent lowers his shield to attack, then strike before he can get his spear into attack position." 	"Should you find yourself face-to-face with one of the Brigands, I suggest you mirror their techniques.  Use Parry or Dodge until your opponent lowers his shield to attack, then strike before he can get his spear into attack position." 
"This is the castle of the Baron von Spielburg.  I am the Weapon Master of the castle."	"This is the castle of the Baron von Spielburg.  I am the Weapon Master of the castle."
"A bright child, for a girl.  She used to watch me practice daily, and question me constantly.  Pity she was not born a boy." 	"A bright child, for a girl.  She used to watch me practice daily, and question me constantly.  Pity she was not born a boy." 
"She would have made a talented swordsman... if I had trained her.  I could not demean myself to teach a mere girl, of course."  	"She would have made a talented swordsman... if I had trained her.  I could not demean myself to teach a mere girl, of course."  
"Fighting is both an art and a skill.  It is a skill in the use of muscle strength and the agility of control."	"Fighting is both an art and a skill.  It is a skill in the use of muscle strength and the agility of control."
"It is an art in outwitting and out-maneuvering the opponent.  I am, of course, the skilled artiste.  Do you fight?"  	"It is an art in outwitting and out-maneuvering the opponent.  I am, of course, the skilled artiste.  Do you fight?"  
"Please don't bore me, young adventurer.  Ask me about something more interesting." 	"Please don't bore me, young adventurer.  Ask me about something more interesting." 
"You will find them very skilled at fighting.  After all, I am the one who trains all the guards at this castle."	"You will find them very skilled at fighting.  After all, I am the one who trains all the guards at this castle."
"Pity."	"Pity."
"I never use a shield, it gets in the way of my agility of dodging.  It is best used by those who are strong but not swift and agile." 	"I never use a shield, it gets in the way of my agility of dodging.  It is best used by those who are strong but not swift and agile." 
"You definitely require a shield."	"You definitely require a shield."
"The skills of the Sword are Thrust, Swing, Parry, and Dodge.  Timing of such actions is critical to the success of the  fighter."	"The skills of the Sword are Thrust, Swing, Parry, and Dodge.  Timing of such actions is critical to the success of the  fighter."
"The sword is the finest of all weapons.  It requires an equal measure of skill and strength." 	"The sword is the finest of all weapons.  It requires an equal measure of skill and strength." 
"I am the Weapon Master, expert swordsman and trainer." 	"I am the Weapon Master, expert swordsman and trainer." 
"I am a skilled teacher as well as a skilled fighter.  For a single gold coin, I will give you some pointers on how to better your skills, and the practice to improve them.  Will you pay?" 	"I am a skilled teacher as well as a skilled fighter.  For a single gold coin, I will give you some pointers on how to better your skills, and the practice to improve them.  Will you pay?" 
An empty wagon stands rotting in the courtyard. 	An empty wagon stands rotting in the courtyard. 
The wagon is too heavy to move without a horse. 	The wagon is too heavy to move without a horse. 
This is part of the castle wall.	This is part of the castle wall.
There is a fenced corral next to the stable building.	There is a fenced corral next to the stable building.
The horses have plenty of grain to keep them eating well. 	The horses have plenty of grain to keep them eating well. 
The Baron was once known for his many fine and noble steeds.  Only a few aging animals remain in his stable. 	The Baron was once known for his many fine and noble steeds.  Only a few aging animals remain in his stable. 
The Baron was once known for his many fine and noble steeds.  Only a few aging animals remain in his stable.   	The Baron was once known for his many fine and noble steeds.  Only a few aging animals remain in his stable.   
"Neigh!"  	"Neigh!"  
The Baron's horses aren't for sale. 	The Baron's horses aren't for sale. 
The horse happily munches on the apple.	The horse happily munches on the apple.
The officers have nicer places than the enscripted men (those who program scripts).  	The officers have nicer places than the enscripted men (those who program scripts).  
In the stable, the manure is beginning to pile up.	In the stable, the manure is beginning to pile up.
You have raked the manure and covered the stable floor with new straw.	You have raked the manure and covered the stable floor with new straw.
The majestic mountains stand in stark contrast to the squalor of the castle. 	The majestic mountains stand in stark contrast to the squalor of the castle. 
"Haven't you got anything better to do than hang around here?  Come back some other time."  	"Haven't you got anything better to do than hang around here?  Come back some other time."  
"OK.  C'mon over here." 	"OK.  C'mon over here." 
The stableman hands you some coins and says, "Now you're five silvers richer."	The stableman hands you some coins and says, "Now you're five silvers richer."
You curl up on some clean hay and get some rest.	You curl up on some clean hay and get some rest.
It IS a rude awakening, however.	It IS a rude awakening, however.
"I see you're back.  Need some work?" 	"I see you're back.  Need some work?" 
Someone approaches you.	Someone approaches you.
"You lookin' for some work?" 	"You lookin' for some work?" 
"Good!  Take a rake." 	"Good!  Take a rake." 
"Good!  Come in here and take a rake." 	"Good!  Come in here and take a rake." 
"Too bad!  I could use some help."  	"Too bad!  I could use some help."  
"I DON'T PAY YOU TO REST!  GET TO WORK!  NOW!!!"   	"I DON'T PAY YOU TO REST!  GET TO WORK!  NOW!!!"   
"WHAT DO YOU THINK THIS IS, A REST HOME???  GET TO WORK!  NOW!!!" 	"WHAT DO YOU THINK THIS IS, A REST HOME???  GET TO WORK!  NOW!!!" 
The castle's stable looks like it holds about six horses.  It could use some cleaning up.  To the northwest you can see the castle's central keep.	The castle's stable looks like it holds about six horses.  It could use some cleaning up.  To the northwest you can see the castle's central keep.
The stable looks much better since you cleaned it.	The stable looks much better since you cleaned it.
It doesn't look like the stableman spends much of his time cleaning.	It doesn't look like the stableman spends much of his time cleaning.
"Hey you!  It's bad enough you hang around here all day, but I sure ain't gonna let you sleep here before you've worked enough to earn it!" 	"Hey you!  It's bad enough you hang around here all day, but I sure ain't gonna let you sleep here before you've worked enough to earn it!" 
It would be more comfortable to sleep on clean hay in the stable.	It would be more comfortable to sleep on clean hay in the stable.
It's too early in the day; come back later.	It's too early in the day; come back later.
Wait a minute. 	Wait a minute. 
You don't need to dazzle anything here.  The horses wouldn't like it.	You don't need to dazzle anything here.  The horses wouldn't like it.
The stable area is too flammable to use that spell here.  	The stable area is too flammable to use that spell here.  
He's not standing where you can see him.	He's not standing where you can see him.
A low-looking lout.  HE could use some cleaning up.	A low-looking lout.  HE could use some cleaning up.
Antwerp	Antwerp
Baronet	Baronet
Horse	Horse
Monster	Monster
Pay	Pay
Stables	Stables
Valley	Valley
Work	Work
"Ha-ha-ha-ha-ha!  Hee-hee-hee-ho-ho!"	"Ha-ha-ha-ha-ha!  Hee-hee-hee-ho-ho!"
"He used to ride the black horse over there."	"He used to ride the black horse over there."
"Ever since the trouble started, the Baron just hasn't been interested in his horses."	"Ever since the trouble started, the Baron just hasn't been interested in his horses."
"They don't bother me, I don't bother them."	"They don't bother me, I don't bother them."
"We used to have some of the finest horses in the north, when the Baron still cared about things other than his troubles.  Now we just have this one outside and and the two in here."	"We used to have some of the finest horses in the north, when the Baron still cared about things other than his troubles.  Now we just have this one outside and and the two in here."
"Don't ask me about anything to do with magic.  I don't wanna know."	"Don't ask me about anything to do with magic.  I don't wanna know."
"Those things scare me silly!"	"Those things scare me silly!"
"You get five silvers each time you clean the stables."	"You get five silvers each time you clean the stables."
"The old stable used to be twice this size before it burned down.  This is fine with so few horses, but it is rather small."	"The old stable used to be twice this size before it burned down.  This is fine with so few horses, but it is rather small."
"Just get out and wander around a little.  You'll find out."	"Just get out and wander around a little.  You'll find out."
"The work is simple -- just grab a rake and clean this place up." 	"The work is simple -- just grab a rake and clean this place up." 
The stableman can't hear you.	The stableman can't hear you.
"Don't tire me out with a bunch of questions.  Can't you see what a hard life I have?" 	"Don't tire me out with a bunch of questions.  Can't you see what a hard life I have?" 
The castle towers overlook the entire valley.  	The castle towers overlook the entire valley.  
The horses have plenty of hay to eat. 	The horses have plenty of hay to eat. 
There is solid wall of rock protecting this place.  	There is solid wall of rock protecting this place.  
This holds drinking water for the horses. 	This holds drinking water for the horses. 
So you says to yourself, "Self," you says... 	So you says to yourself, "Self," you says... 
You straighten out your cape so that you can make a good impression at the castle.	You straighten out your cape so that you can make a good impression at the castle.
The doors are guarded by Frederick and Pierre.  (You can tell by their nametags.) 	The doors are guarded by Frederick and Pierre.  (You can tell by their nametags.) 
The doors are securely locked for the night.	The doors are securely locked for the night.
There is no response.	There is no response.
That's not too bright an idea while the guards are watching.	That's not too bright an idea while the guards are watching.
The doors are securely locked and barred from the inside.	The doors are securely locked and barred from the inside.
That's not too bright an idea while the guards are watching. 	That's not too bright an idea while the guards are watching. 
The guards look to be middle-aged, but in good physical condition.  Their clothing is faded and patched.  Even the horns look dull.	The guards look to be middle-aged, but in good physical condition.  Their clothing is faded and patched.  Even the horns look dull.
"I told you not to mention it.  Now you've hurt his feelings, and he won't talk until he gets over it." 	"I told you not to mention it.  Now you've hurt his feelings, and he won't talk until he gets over it." 
Bald spot	Bald spot
Barracks	Barracks
Daughter	Daughter
Name  	Name  
Karl	Karl
You're embarrassing the poor fellow. 	You're embarrassing the poor fellow. 
"Pierre's very proud of his moustache, but don't mention his bald spot." 	"Pierre's very proud of his moustache, but don't mention his bald spot." 
"No one enters the castle without the Baron's permission."	"No one enters the castle without the Baron's permission."
"The Baron sees no one."	"The Baron sees no one."
"The barracks are off to my right, but you have no business going there."	"The barracks are off to my right, but you have no business going there."
"This is the castle of Baron Stefan von Spielburg."	"This is the castle of Baron Stefan von Spielburg."
"The Baron's daughter has been gone for years."	"The Baron's daughter has been gone for years."
"My name is Frederick." 	"My name is Frederick." 
"Karl is the gatekeeper. He is a good one to answer questions."	"Karl is the gatekeeper. He is a good one to answer questions."
"His name is Pierre."	"His name is Pierre."
The light casts a welcome glow on such a moonless night. 	The light casts a welcome glow on such a moonless night. 
The guard is dressed in worn, but neatly patched, clothing.  He has obviously spent a lot of time maintaining that magnificent mustache.  (But you'd better not mention his bald spot.)   	The guard is dressed in worn, but neatly patched, clothing.  He has obviously spent a lot of time maintaining that magnificent mustache.  (But you'd better not mention his bald spot.)   
Name   	Name   
"I'm not talking to you." 	"I'm not talking to you." 
Better not touch the guards.  They look tough.	Better not touch the guards.  They look tough.
"Why don't you ask Karl?"	"Why don't you ask Karl?"
"Don't get me mad."	"Don't get me mad."
"His name is Frederick." 	"His name is Frederick." 
"My name is Pierre."	"My name is Pierre."
"The Baron von Spielburg and the Baronet await you in the great hall." 	"The Baron von Spielburg and the Baronet await you in the great hall." 
After a wonderful meal with the Baron and his son, a peaceful night's sleep in a featherdown bed, and a filling breakfast in bed, you are ready to go adventuring once more.	After a wonderful meal with the Baron and his son, a peaceful night's sleep in a featherdown bed, and a filling breakfast in bed, you are ready to go adventuring once more.
I'm Frederick. 	I'm Frederick. 
"I'm Pierre." 	"I'm Pierre." 
This is the central keep of Baron Stefan von Spielburg's castle.  The castle grounds look like no one has taken care of them.  The castle is still impressive close up, but it looks rather dirty. 	This is the central keep of Baron Stefan von Spielburg's castle.  The castle grounds look like no one has taken care of them.  The castle is still impressive close up, but it looks rather dirty. 
The castle walls are very high.  You judge that you would not be able to climb them.	The castle walls are very high.  You judge that you would not be able to climb them.
You barely get to sleep when the guard on night patrol kicks you out.	You barely get to sleep when the guard on night patrol kicks you out.
The ground is almost bare here due to the pacing of so many guards. 	The ground is almost bare here due to the pacing of so many guards. 
Go west?  And get scratches all over your nice new clothes? I think not.  	Go west?  And get scratches all over your nice new clothes? I think not.  
The only good Goblin is a dead Goblin!	The only good Goblin is a dead Goblin!
What's he staring at?	What's he staring at?
Strange place to take a nap.	Strange place to take a nap.
He's getting a sun tan?	He's getting a sun tan?
A good Goblin!	A good Goblin!
Does anyone know CPR?	Does anyone know CPR?
Limp as a dishrag.	Limp as a dishrag.
He lost.	He lost.
You've seen one dead Goblin, you've seen 'em all.	You've seen one dead Goblin, you've seen 'em all.
You know he's broke. 	You know he's broke. 
He never had any money.	He never had any money.
You've already taken his money.	You've already taken his money.
You find 5 silvers concealed in a pouch.  You take the silvers.	You find 5 silvers concealed in a pouch.  You take the silvers.
You find 4 silvers tucked in his tunic.  He has no use for the silvers anymore, so into your pocket they go. 	You find 4 silvers tucked in his tunic.  He has no use for the silvers anymore, so into your pocket they go. 
This poor slob was the big loser at the poker game.  He didn't even have lunch money. 	This poor slob was the big loser at the poker game.  He didn't even have lunch money. 
It's your lucky day!  This was the big winner at last night's poker game. You take his 35 silvers. 	It's your lucky day!  This was the big winner at last night's poker game. You take his 35 silvers. 
In this Goblin's left shoe you find 8 silvers.  You look around and slip the silvers into your pocket. 	In this Goblin's left shoe you find 8 silvers.  You look around and slip the silvers into your pocket. 
Clutched in his hand are 4 silvers.  You take the money.	Clutched in his hand are 4 silvers.  You take the money.
This guy lost all his dough to a loan shark.	This guy lost all his dough to a loan shark.
The Goblin government lost his paycheck.	The Goblin government lost his paycheck.
He didn't have anything.	He didn't have anything.
It's R2D4!	It's R2D4!
It's Hollywood, a virtual Goblin!	It's Hollywood, a virtual Goblin!
It's Droopy!	It's Droopy!
It's Sneaky!	It's Sneaky!
It's Nickaroo, a real Goblin!	It's Nickaroo, a real Goblin!
It's JohnnyFive!	It's JohnnyFive!
A Goblin steps out of the bush.	A Goblin steps out of the bush.
One strange bush!	One strange bush!
Wow!  You threw that dead goblin a long way!	Wow!  You threw that dead goblin a long way!
The Goblin has a mean look in its eyes.  You prepare for battle. 	The Goblin has a mean look in its eyes.  You prepare for battle. 
You're in the Goblin Central Combat Training Zone.  You wonder where all the goblins are coming from, but don't worry about it.  It's just one of those little unsolved mysteries of the universe.  	You're in the Goblin Central Combat Training Zone.  You wonder where all the goblins are coming from, but don't worry about it.  It's just one of those little unsolved mysteries of the universe.  
Walking through those bushes could make you subject to a grave penalty. 	Walking through those bushes could make you subject to a grave penalty. 
It's just a bush. 	It's just a bush. 
It is a common bush. 	It is a common bush. 
It's a small tree.	It's a small tree.
The handsome Centaur has a look of pride and dignity as he rakes his field.	The handsome Centaur has a look of pride and dignity as he rakes his field.
The majestic Centaur watches you carefully.	The majestic Centaur watches you carefully.
Centaurs	Centaurs
Farm	Farm
Field	Field
Fruit	Fruit
Harvest	Harvest
Healer	Healer
Hilde	Hilde
Leader	Leader
Farmer's Mart	Farmer's Mart
Name	Name
Vegetables	Vegetables
"I'm sorry.  I know little about the Baron and his family."	"I'm sorry.  I know little about the Baron and his family."
"The brigands attacked me a few months ago.  I am a strong fighter and my hooves are deadly, but there were too many of them."	"The brigands attacked me a few months ago.  I am a strong fighter and my hooves are deadly, but there were too many of them."
"My right leg was broken, and there is no pride for a Centaur who cannot run. If it had not been for the unlikely intervention of their leader, I would be dead."	"My right leg was broken, and there is no pride for a Centaur who cannot run. If it had not been for the unlikely intervention of their leader, I would be dead."
"We Centaurs are a very ancient and proud people."	"We Centaurs are a very ancient and proud people."
